date,city,country,parameter,value,unit,latitude,longitude,year,month,day_of_week,is_weekend,season
2020-01-01,São Paulo,Brazil,PM2.5,58.84,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-02,São Paulo,Brazil,PM2.5,73.32,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-03,São Paulo,Brazil,PM2.5,73.1,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-04,São Paulo,Brazil,PM2.5,80.58,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-05,São Paulo,Brazil,PM2.5,64.84,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-06,São Paulo,Brazil,PM2.5,65.57,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-07,São Paulo,Brazil,PM2.5,65.28,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-08,São Paulo,Brazil,PM2.5,61.92,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-09,São Paulo,Brazil,PM2.5,45.21,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-10,São Paulo,Brazil,PM2.5,81.01,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-11,São Paulo,Brazil,PM2.5,79.84,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-12,São Paulo,Brazil,PM2.5,56.61,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-13,São Paulo,Brazil,PM2.5,67.73,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
2020-01-14,São Paulo,Brazil,PM2.5,64.76,µg/m³,-23.5505,-46.6333,2020,1,1,0,Verão
2020-01-15,São Paulo,Brazil,PM2.5,65.32,µg/m³,-23.5505,-46.6333,2020,1,2,0,Verão
2020-01-16,São Paulo,Brazil,PM2.5,51.12,µg/m³,-23.5505,-46.6333,2020,1,3,0,Verão
2020-01-17,São Paulo,Brazil,PM2.5,66.39,µg/m³,-23.5505,-46.6333,2020,1,4,0,Verão
2020-01-18,São Paulo,Brazil,PM2.5,78.83,µg/m³,-23.5505,-46.6333,2020,1,5,1,Verão
2020-01-19,São Paulo,Brazil,PM2.5,98.61,µg/m³,-23.5505,-46.6333,2020,1,6,1,Verão
2020-01-20,São Paulo,Brazil,PM2.5,77.12,µg/m³,-23.5505,-46.6333,2020,1,0,0,Verão
